,features,Question,Answer option,Importance
0,Laptop_Q10_feat3,How does Laptop provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,0.202271062
1,Laptop_Q11_feat2,Which of the following design components on your Laptop help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",0.148257177
2,Laptop_Q5_feat1,What level of accuracy does your Laptop provide when executing the task?,It executes the task without any errors   ,0.084441706
3,Laptop_Q8_feat5,What level of personalized communication does your Laptop provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,0.07387214
4,Laptop_Q12_feat1,Which of these maintenance features in Laptop affect you as you perform this task on it?,Amount of battery life and impact of performing the task on battery life   ,0.05689321
5,Laptop_Q3_feat3,Which  aspects of Laptop makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,0.055335497
6,Laptop_Q1_feat4,Which of the following type of interactions do you use while executing a command on Laptop?,Text-based interaction using physical keyboard  ,0.048800632
7,Laptop_Q4_feat3,Which aspects of mobility does Laptop  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,0.031845145
8,Laptop_Q7_feat3,Which of the following features help you in reaching the desired level of trust to perform this task on Laptop?,I enables me to control how it executes this task  ,0.021132798
9,Laptop_Q2_feat1,"How do you multitask (i.e.,use other functionalities) on Laptop while executing this task?",I use/view another application using touch-based input,0.021049394
10,Laptop_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Laptop while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  ,0.018985997
11,Laptop_Q3_feat2,Which  aspects of Laptop makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,0.017390273
12,Laptop_Q12_feat5,Which of these maintenance features in Laptop affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  ,0.015171489
13,Laptop_Q10_feat7,How does Laptop provide feedback or respond to your actions as you execute the task?,The way in which this device provides feedback or responds to my actions does not affect the way I use it  for this task or is not provided by the device  ,0.013511513
14,Laptop_Q9_feat3,How does your Laptop help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,0.012156183
15,Laptop_Q11_feat1,Which of the following design components on your Laptop help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    ",0.010367166
16,Laptop_Q9_feat6,How does your Laptop help you understand the features that you use to perform this task?  ,The assistance provided by the device to understand its features does not matter as I  use it for this task or is not provided by the device  ,0.009363773
17,Laptop_Q4_feat1,Which aspects of mobility does Laptop  provide as you perform this task?,I can move around while performing the task   ,0.008064242
18,Laptop_Q8_feat2,What level of personalized communication does your Laptop provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",0.00773216
19,Q4_feat3,What aspects of mobility do you expect to have for performing this task?,Mobility of the device does not matter to me in this task,0.006423126
20,Laptop_Q9_feat2,How does your Laptophelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them,0.0056589
21,Laptop_Q1_feat7,Which of the following type of interactions do you use while executing a command on Laptop?,The input modality does not matter to me or is not provided by the device  ,0.005126429
22,Q3_feat4,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. ,0.004963333
23,Laptop_Q5_feat3,What level of accuracy does your Laptop provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  ",0.004557434
24,Q12_feat1,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?</,Amount of battery life and impact of performing the task on battery life   ,0.004380642
25,Q6_feat3,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should give me option of providing or changing any information through the entire execution of the task.  ,0.00430889
26,Laptop_Q13_feat4,Which of the additional artifacts do you connect/download on your Laptop,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,0.004237344
27,Q13_feat2,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  ",0.004103987
28,Q1_feat5,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using virtual/digital keyboard on a screen ,0.003795751
29,Q12_feat5,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,vThe maintenance features do not matter to me  for this task.,0.00356787
30,Laptop_Q5_feat2,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  ,0.003437261
31,Laptop_Q3_feat1,Which  aspects of Laptop makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.,0.003385475
32,Q7_feat1,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,To be able to define who has access to my information  ,0.003221496
33,Q7_feat3,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,I should be able to control how device executes a task  ,0.00315475
34,Q3_feat3,Which aspects of any of the device(s) would make it easier for you to use them for this task?,"The device(s) should be able to display any task related information (e.g, response) on a screen  ",0.003135448
35,Q8_feat2,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Customizability of features based on current context and past interactions (e.g., sorting notifications by relevance)   ",0.003031661
36,Q10_feat6,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"As long as feedback is unambiguous and easy to follow, mode of feedback does not matter to me.   ",0.002973895
37,location_1,Scenario location,Home,0.002873231
38,Relationship_2,Scenario relation,strong ties,0.002738188
39,Q10_feat2,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through audio/voice based notifications/responses   ,0.002659859
40,Q2_feat3,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",The modality of input (text- or voice-based) does not matter as long as I am able to use another application  ,0.002640292
41,Q1_feat4,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using physical keyboard ,0.00259584
42,Q8_feat3,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Based on my current activities and surroundings device(s) should recommend  additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task) ",0.002586407
43,location_3,Scenario location,"Public (park, street etc)",0.002558916
44,Q6_feat2,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should prompt me for providing more information when instructions are unclear or missing.  ,0.002510252
45,Q4_feat1,What aspects of mobility do you expect to have for performing this task? ,Being able to move around while performing the task   ,0.002471957
46,Laptop_Q13_feat2,Which of the additional artifacts do you connect/download on your Laptop,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  ",0.00231788
47,Laptop_Q7_feat2,Which of the following features help you in reaching the desired level of trust to perform this task on Laptop?,"It enables me to control where my personal information is stored (e.g., solely on the device)",0.002282761
48,Q10_feat4,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through notifications/reminders on other synced/connected device  ,0.002212464
49,location_2,Scenario location,"Semi private places (resturants, coffee shop etc)",0.002207028
50,Q8_feat5,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Personalization or customizability  is not essential for me performing this task on any device,0.002092258
51,Q12_feat3,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Ease of recovery of data and task related information in case of any hardware/software malfunction  ,0.001909497
52,Q3_feat1,Which aspects of any of the device(s) would make it easier for you to use them for this task?,It should be easy to find and understand the relevant features of the device(s) to complete the given task.  ,0.001788887
53,Q9_feat2,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,An interactive help/search menu that can answer my questions about the features of the device as I use them   ,0.001750971
54,Q9_feat1,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A tooltip that explains the functionality of a widget on the device  ,0.001690377
55,Q2_feat1,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through touch-based input   ,0.001662657
56,Q13_feat1,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Physical hardware (e.g., keyboard, screen, headphones, speakers, storage space)  ",0.001615269
57,Q1_feat3,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction with a digital pen/Stylus  ,0.001555138
58,Q3_feat2,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.,0.001458284
59,Q2_feat2,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through voice-based input ,0.001382068
60,Q11_feat1,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Presentation of information is in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used )  ",0.001373279
61,Q8_feat1,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Device(s) should be able to communicate with me through informal/human-like responses or notifications  ,0.001345691
62,Relationship_1,Scenario relation,alone,0.001253319
63,Relationship_3,Scenario relation,weak ties,0.001205746
64,Q7_feat2,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,"To be able to control where my personal information is stored (e.g., solely on the device(s))",0.001194342
65,Laptop_Q10_feat2,How does Laptop provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,0.001163381
66,Q2_feat5,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",I would not like to multitask while performing this tas,0.001151527
67,Laptop_Q10_feat6,How does Laptop provide feedback or respond to your actions as you execute the task?,"As the feedback provided by my device is unambiguous and easy to follow, mode of feedback does not matter to me. ",0.00114572
68,Q1_feat1,Which of the following type of interactions would you like to use to perform this task?,Voice-based interaction  ,0.001125333
69,Q11_feat2,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them",0.001033813
70,Q7_feat5,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,Building trust is not essential for me while performing this task on any device  ,0.001008453
71,Q10_feat1,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"Through lights, vibrations  ",0.00093767
72,Q9_feat4,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A voice assistant that can help me in understanding how to use appropriate features to perform the task  ,0.000779906
73,Q6_feat4,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,When a device gives an option of providing or changing any task related information is not relevant while performing this task  ,0.000727815
74,Q13_feat4,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,The ability to connect/download an additional things does not matter to me  for this task.,0.00062798
75,Q5_feat3,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors, but it should try to correct itself by learning from my previous actions or more interactions with me.  ",0.000626554
76,Q12_feat2,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Need and effect of any software updates while/before performing the task  ,0.000626554
77,Q9_feat6,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,The level of assistance provided by a  device to help me understand its features while I am executing this task does not matter. ,0.000569911
78,Q10_feat3,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices,0.000568815
79,Q9_feat3,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   ,0.000544957
80,Q11_feat3,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"In case of no screen, the device(s) should provide me needed information as voice-based instructions",0.000387446
81,Q5_feat1,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   ,0.000349991
82,Q1_feat2,Which of the following type of interactions would you like to use to perform this task?,"Touch-based interaction (e.g, through scrolling, tapping)  ",0.000238762
83,Q5_feat4,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command) ",0.000208851
84,Q6_feat1,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Only at the beginning for providing first set of commands or information  ,0.000122013
85,Q5_feat2,";""> What level of accuracy do you expect any of the device(s) to achieve for executing this task?",The device(s) can make errors sometimes  ,1.05E-05
86,Q11_feat5,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,Design components in a device to help me develop an intuition of how to perform this task does not matter to me  ,5.97E-06
87,Q1_feat7,Which of the following type of interactions would you like to use to perform this task?,The input modality does not matter to me  ,0
88,Q3_feat6,Which aspects of any of the device(s) would make it easier for you to use them for this task?,Ease of use does not hold any relevance for me with respect to this task  ,0
89,Q5_feat6,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,Level of accuracy does not matter to me while performing this task  ,0
90,Q10_feat7,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,The way in which a device provides feedback or responds to my actions does not matter to me  for this task,0
91,Laptop_Q1_feat1,Which of the following type of interactions do you use while executing a command on Laptop,Voice-based interaction  ,0
92,Laptop_Q1_feat2,Which of the following type of interactions do you use while executing a command on Laptop,"Touch-based interaction (e.g, through scrolling, tapping)  ",0
93,Laptop_Q1_feat3,Which of the following type of interactions do you use while executing a command on Laptop,Text-based interaction with a digital pen/Stylus  ,0
94,Laptop_Q1_feat5,Which of the following type of interactions do you use while executing a command on Laptop,Text-based interaction using virtual/digital keyboard on a screen  ,0
95,Laptop_Q2_feat2,"How do you multitask (i.e.,use other functionalities) on Laptop while executing this task?",I use/view another application using voice-based input ,0
96,Laptop_Q2_feat3,"How do you multitask (i.e.,use other functionalities) on Laptop while executing this task?","The modality of input (text- or voice-based) does not matter, as I am able to use another application simultaneously  ",0
97,Laptop_Q3_feat4,Which  aspects of Laptop makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  ,0
98,Laptop_Q3_feat6,Which  aspects of Laptop makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  ,0
99,Laptop_Q5_feat4,What level of accuracy does your Laptop provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  ",0
100,Laptop_Q5_feat6,What level of accuracy does your Laptop provide when executing the task,Level of  accuracy does not matter to me while using this device for this task or is not provided by the device  ,0
101,Laptop_Q6_feat1,When does your Laptop give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,0
102,Laptop_Q6_feat2,When does your Laptop give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.,0
103,Laptop_Q6_feat3,When does your Laptop give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.,0
104,Laptop_Q6_feat4,When does your Laptop give you an option of providing or changing any task related information to perform this task?,Having such options from the device while performing are not essential to me while using this device or is not provided by the device.  ,0
105,Laptop_Q7_feat1,Which of the following features help you in reaching the desired level of trust to perform this task on Laptop?,It enables me to define who has access to my information,0
106,Laptop_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Laptop?,Building trust is not essential for using this device for this task or is not provided by the device ,0
107,Laptop_Q8_feat1,What level of personalized communication does your Laptop provide while performing this task?,The device communicates with me through informal/human-like responses or notifications,0
108,Laptop_Q8_feat3,What level of personalized communication does your Laptop provide while performing this task?,"Based on my current activities and surroundings it recommends additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task)",0
109,Laptop_Q9_feat1,How does your Laptop help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.,0
110,Laptop_Q9_feat4,How does your Laptop help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task ,0
111,Laptop_Q10_feat1,How does Laptop provide feedback or respond to your actions as you execute the task,"Through lights, vibrations   ",0
112,Laptop_Q10_feat4,How does Laptop provide feedback or respond to your actions as you execute the task,Notifications/Reminders on other synced/connected devices  ,0
113,Laptop_Q11_feat3,Which of the following design components on your Laptop help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  ,0
114,Laptop_Q11_feat5,Which of the following design components on your Laptop help you to develop an intuition before you decide how to complete this task,I do not need the device to help me in deciding the best way to perform a task or is not provided by the device  ,0
115,Laptop_Q12_feat2,Which of these maintenance features in Laptop affect you as you perform this task on it,Need of updating any software while/before performing the task  ,0
116,Laptop_Q12_feat3,Which of these maintenance features in Laptop affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. ,0
117,Laptop_Q13_feat1,Which of the additional artifacts do you connect/download on your Laptop to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  ",0
