Smart_Phone_Q4_feat1,Smart_Phone_Q1_feat2,Smart_Phone_Q11_feat2,Smart_Phone_Q5_feat1,Smart_Phone_Q10_feat3,Smart_Phone_Q9_feat3,Smart_Phone_Q12_feat1,Smart_Phone_Q3_feat2,Smart_Phone_Q3_feat3,Smart_Phone_Q3_feat1,Smart_Phone_Q2_feat1,Smart_Phone_Q6_feat1,Smart_Phone_Q13_feat4,Smart_Phone_Q7_feat1,Smart_Phone_Q8_feat2,Smart_Phone_Q13_feat2,Smart_Phone_Q8_feat5,Smart_Phone_Q10_feat2,Smart_Phone_Q11_feat1,Smart_Phone_Q7_feat2,actual_use
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1
1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1
1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1
1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1
0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1
1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1
1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1
1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1
1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1
1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1
1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1
0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1
1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1
1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1
1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1
1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1
1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1
1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1
1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1
1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1
1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1
0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1
1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1
1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1
1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1
0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1
1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1
0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1
1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1
1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1
1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1
1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1
1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1
1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1
1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1
1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1
1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1
1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
